rank,compound_name,molecule_chembl_id,parent_molecule_chembl_id,ic50_value,ic50_unit,pchembl_value,activity_id,assay_chembl_id,assay_type,assay_variant_mutation,assay_description,document_chembl_id,document_journal,document_year,smiles,trial_nct_id,trial_phase,trial_status,trial_sponsor,trial_intervention,trial_condition,trial_match_level,paper1_pmid,paper1_title,paper1_journal,paper1_year,paper1_doi,paper1_kind,paper2_pmid,paper2_title,paper2_journal,paper2_year,paper2_doi,paper2_kind
1,N/A (ChEMBL 无首选名),CHEMBL4855521,CHEMBL5028342,0.51,nM,9.29,23224505,CHEMBL4825224,B,"G12C,C51S,C80L,C118S",Inhibition of biotinylated KRAS G12C/C51S/C80L/C118S mutant (unknown origin) pretreated for 60 mins followed by recombinant SOS addition by SOS-catalyzed nucleotide exchange-based TR-FRET analysis,CHEMBL4823310,ACS Med Chem Lett,2021,[2H]C1([2H])Oc2ccc(F)c(F)c2-c2nc3c(cc2Cl)c(N2C[C@@H](C)N(C(=O)C=C)C[C@@H]2C)nc(=O)n3-c2c(ccnc2C(C)C)OC1([2H])[2H],NCT05920356,Phase 3,RECRUITING,Amgen,Sotorasib,NSCLC (KRAS p.G12C),indication/mutation-level (candidate unnamed),34413946,Small Molecule Inhibitors of KRAS G12C Mutant,ACS Med Chem Lett,2021,10.1021/acsmedchemlett.1c00389,mechanism review,34161704,Acquired Resistance to KRASG12C Inhibition in Cancer,N Engl J Med,2021,10.1056/NEJMoa2105281,clinical evidence
2,N/A (ChEMBL 无首选名),CHEMBL4852458,CHEMBL4852458,0.51,nM,9.29,23224507,CHEMBL4825224,B,"G12C,C51S,C80L,C118S",Inhibition of biotinylated KRAS G12C/C51S/C80L/C118S mutant (unknown origin) pretreated for 60 mins followed by recombinant SOS addition by SOS-catalyzed nucleotide exchange-based TR-FRET analysis,CHEMBL4823310,ACS Med Chem Lett,2021,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4nc(c(Cl)cc24)-c2c(ccc(F)c2F)OCCCc2ncnc(C(C)C)c2-3)C[C@H]1C,NCT04793958,Phase 3,ACTIVE_NOT_RECRUITING,Mirati Therapeutics Inc.,MRTX849 (adagrasib),Advanced/Metastatic Colorectal Cancer (KRAS G12C),indication/mutation-level (candidate unnamed),34413946,Small Molecule Inhibitors of KRAS G12C Mutant,ACS Med Chem Lett,2021,10.1021/acsmedchemlett.1c00389,mechanism review,33838397,Targeting mutant KRAS,Curr Opin Chem Biol,2021,10.1016/j.cbpa.2021.02.010,mechanism review
3,N/A (ChEMBL 无首选名),CHEMBL4856277,CHEMBL4856277,0.56,nM,9.25,23224511,CHEMBL4825224,B,"G12C,C51S,C80L,C118S",Inhibition of biotinylated KRAS G12C/C51S/C80L/C118S mutant (unknown origin) pretreated for 60 mins followed by recombinant SOS addition by SOS-catalyzed nucleotide exchange-based TR-FRET analysis,CHEMBL4823310,ACS Med Chem Lett,2021,C=CC(=O)N1CCN(c2nc(=O)n3c4nc(c(Cl)cc24)-c2c(F)cccc2OCC(F)(F)CCc2ccnc(C(C)C)c2-3)[C@@H](C)C1,NCT06300177,Phase 3,RECRUITING,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",D-1553 (glecirasib),NSCLC (KRAS G12C),indication/mutation-level (candidate unnamed),34413946,Small Molecule Inhibitors of KRAS G12C Mutant,ACS Med Chem Lett,2021,10.1021/acsmedchemlett.1c00389,mechanism review,34161704,Acquired Resistance to KRASG12C Inhibition in Cancer,N Engl J Med,2021,10.1056/NEJMoa2105281,clinical evidence
4,N/A (ChEMBL 无首选名),CHEMBL4856826,CHEMBL4856826,0.9,nM,9.05,23153271,CHEMBL4810876,B,G12C,Inhibition of biotinylated KRAS G12C mutant (unknown origin) assessed as inhibition of SOS-catalyzed nucleotide exchange preincubated for 60 mins followed by addition of human recombinant SOS protein and unlabeled GTP and measured after 60 mins by TR-FRET analysis,CHEMBL4808238,ACS Med Chem Lett,2021,C=CC(=O)N1CCN(c2cc(C(=O)N[C@H](C)CN(C)C)nc3c2CCN(c2c(Cl)c(C)cc4[nH]ncc24)C3)C[C@@H]1CC#N,NCT05288205,Phase 1/2,RECRUITING,"Allist Pharmaceuticals, Inc.",JAB-21822 + JAB-3312,Advanced solid tumors (KRAS p.G12C),indication/mutation-level (candidate unnamed),34413946,Small Molecule Inhibitors of KRAS G12C Mutant,ACS Med Chem Lett,2021,10.1021/acsmedchemlett.1c00389,mechanism review,34471232,The KRAS-G12C inhibitor: activity and resistance,Cancer Gene Ther,2022,10.1038/s41417-021-00383-9,mechanism/clinical review
5,N/A (ChEMBL 无首选名),CHEMBL4879271,CHEMBL4879271,0.91,nM,9.04,23224506,CHEMBL4825224,B,"G12C,C51S,C80L,C118S",Inhibition of biotinylated KRAS G12C/C51S/C80L/C118S mutant (unknown origin) pretreated for 60 mins followed by recombinant SOS addition by SOS-catalyzed nucleotide exchange-based TR-FRET analysis,CHEMBL4823310,ACS Med Chem Lett,2021,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4nc(c(Cl)cc24)-c2c(F)cccc2OCC(F)(F)COc2ccnc(C(C)C)c2-3)C[C@H]1C,NCT06959589,Phase 2,ENROLLING_BY_INVITATION,"Second Affiliated Hospital, Zhejiang University",IBI351 + cetuximab β + FOLFIRI,Metastatic Colorectal Cancer (KRAS G12C),indication/mutation-level (candidate unnamed),34413946,Small Molecule Inhibitors of KRAS G12C Mutant,ACS Med Chem Lett,2021,10.1021/acsmedchemlett.1c00389,mechanism review,33838397,Targeting mutant KRAS,Curr Opin Chem Biol,2021,10.1016/j.cbpa.2021.02.010,mechanism review
